year,gasoline_mpg_scenario,electrified_record_share_scenario
2027,21.889739927543335,0.5830570746223328
2028,21.798382207488118,0.652434570316483
2029,21.707024487432903,0.7158930662528019
2030,21.615666767377686,0.7718174866958739
2031,21.52430904732247,0.8195090033399557
